CNTSTUID,gender,female,grade,computer,software,internet,desk,own.room,quiet.study,lit,poetry,art,book.sch,tech.book,dict,art.book,ST011Q05TA,ST071Q02NA,ST071Q01NA,ST123Q02NA,ST082Q01NA,ST119Q01NA,ST119Q05NA,ANXTEST,COOPERATE,BELONG,EMOSUPS,WEALTH,PARED,TMINS,ESCS,TEACHSUP,TDTEACH,IBTEACH,SCIEEFF,math,reading,science
79204469,Female,1,Grade 10,1,0,1,1,0,1,0,0,0,1,0,1,0,No,4,3,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,1.1199,-0.2882,-0.8219,0.5658,-1.5887,4,1480,-2.1948,-0.1164,0.4505,-0.3474,0.3211,426.5462,456.8389,459.6007
79205499,Female,1,Grade 10,1,0,0,1,1,1,0,1,0,1,0,1,0,No,2,0,Strongly agree,Agree,Strongly agree,Strongly agree,0.5736,0.8242,0.2493,0.5658,-1.3254,8,1680,-2.13,-0.2776,0.4587,0.2613,-0.2564,453.8241,485.4361,470.1706
79206851,Female,1,Grade 10,1,0,0,1,1,1,0,0,0,0,0,1,0,No,6,7,Agree,Agree,Strongly agree,Strongly agree,0.5209,1.0205,0.3645,-0.889,-2.1025,4,1680,-2.6473,-1.8849,-0.6102,-1.8581,-0.417,385.1343,426.3028,378.4257
79204784,Female,1,Grade 10,1,0,1,0,1,1,0,0,0,1,0,1,0,No,7,14,Agree,Disagree,Strongly agree,Agree,0.139,-0.9705,-0.6837,-0.1691,-1.2214,4,1720,-2.5444,0.2881,-0.5262,0.9245,-1.6333,432.481,441.5363,402.0516
79202572,Female,1,Grade 10,1,1,1,1,1,1,1,1,0,1,1,1,0,Yes,10,12,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,-2.505,2.2879,2.5915,1.0991,-0.9781,4,1680,-2.1645,1.4475,2.0781,2.1533,1.8041,463.3093,481.3096,475.0525
79201583,Female,1,Grade 10,1,1,1,1,1,1,1,1,1,1,1,1,1,Yes,6,9,Strongly agree,Strongly agree,Strongly agree,Strongly agree,-0.107,-1.2109,-0.9532,0.4662,-0.5784,16,900,0.2561,0.3028,-0.2213,-1.0398,0.553,503.3838,527.9203,542.2387
79200467,Female,1,Grade 10,1,1,1,1,1,1,0,0,0,1,1,1,0,Yes,7,8,Agree,Agree,Strongly agree,Agree,0.8425,0.6015,-0.3381,-0.2511,-0.3444,14,800,-0.7138,0.1445,0.6495,-1.4554,0.3307,265.9931,377.4783,300.4194
79202631,Female,1,Grade 10,1,1,1,1,1,1,1,0,0,1,1,1,0,Yes,6,0,Strongly agree,Disagree,Strongly agree,Agree,-0.0997,-0.9705,-0.6525,1.0991,-1.0311,12,1440,-1.2,-0.3225,-0.878,-0.228,-0.5871,406.2536,447.4135,417.8458
79204864,Female,1,Grade 10,1,0,1,1,1,0,0,1,0,0,1,1,1,No,6,NA,Agree,Agree,Strongly agree,Strongly agree,0.7993,-1.198,-0.3381,-0.889,-0.3662,12,1530,-0.0937,-1.536,-0.6954,-0.5265,1.4975,332.7383,358.8282,359.6441
79203221,Female,1,Grade 10,1,1,1,1,1,1,0,0,0,1,0,1,0,Yes,6,2,Agree,Disagree,Agree,Agree,1.0016,-1.2786,-0.9454,-0.889,-1.8173,4,1600,-2.5558,-0.1203,-0.9523,-0.0873,-0.7502,333.2683,362.5664,332.5099
79203601,Female,1,Grade 10,0,0,0,1,1,0,1,0,0,1,0,1,1,No,2,3,Agree,Disagree,Agree,Agree,0.7993,-0.2882,-1.1284,-0.889,-2.4851,8,1440,-2.3043,-0.1164,-0.6102,0.2289,0.3155,461.6692,464.5855,413.4556
79203936,Female,1,Grade 10,0,0,1,0,1,1,1,1,1,1,0,1,0,No,20,15,Strongly agree,Disagree,Strongly agree,Agree,0.6467,-0.9705,-1.4603,-0.2495,-1.6043,8,2000,-1.6552,0.3028,0.7888,0.376,-0.4248,336.198,346.18,359.7323
79206568,Female,1,Grade 10,0,0,0,1,1,1,1,1,0,1,0,1,1,No,15,12,Strongly agree,Agree,Strongly agree,Strongly agree,0.2594,-0.6455,0.3549,0.1711,-1.4106,12,1480,-1.3162,-0.2651,0.0532,-0.3465,0.538,331.9679,371.7854,369.4801
79204517,Female,1,Grade 10,1,0,1,1,1,1,1,1,0,0,0,1,0,No,NA,NA,Strongly agree,Agree,Strongly agree,Agree,0.5209,-0.8088,-1.2158,0.4662,-0.7275,4,NA,-2.2198,0.2881,0.9505,0.6773,0.3155,388.7653,494.1727,438.6068
79201512,Female,1,Grade 10,0,0,0,1,1,1,0,1,0,0,0,1,0,No,6,4,Strongly agree,Strongly agree,Strongly agree,Agree,-0.5306,0.6615,-1.6472,-0.6092,-2.6249,8,440,-2.4098,-0.7576,-1.0416,-0.0432,0.1155,337.2865,346.0858,321.5719
