gender,grade,computer,internet,desk,own.room,quiet.study,book.sch,tech.book,art.book,reading
Female,Grade 10,0,0,0,0,0,1,0,0,433.8585
Female,Grade 10,0,0,1,1,0,NA,0,0,351.0687
Female,Grade 10,1,1,1,1,1,1,0,0,394.342
Female,Grade 10,0,0,1,1,1,1,NA,1,365.7741
Male,Grade 10,0,0,1,0,1,1,0,1,401.9653
Female,Grade 10,0,0,0,1,1,0,0,0,432.6317
Female,Grade 10,1,1,0,0,1,0,0,0,492.0295
Female,Grade 10,1,1,1,1,1,0,0,0,407.1381
Male,Grade 10,1,1,1,1,1,0,0,0,415.1517
Male,Grade 10,NA,NA,NA,NA,NA,NA,NA,NA,367.4409
Male,Grade 10,0,0,0,0,0,0,0,0,407.859
Male,Grade 10,1,0,1,1,1,0,0,0,442.9073
Male,Grade 10,0,0,0,0,1,0,1,0,426.6602
Male,Grade 10,0,0,1,1,1,0,0,0,392.9118
Female,Grade 10,0,0,0,0,0,0,0,0,413.5182
Female,Grade 10,1,1,1,1,1,1,1,1,389.4413
Female,Grade 9,1,0,1,1,1,1,0,1,396.8842
Female,Grade 9,1,1,1,1,1,1,1,1,395.2055
Male,Grade 9,NA,NA,1,1,1,NA,NA,NA,371.2011
Male,Grade 9,0,0,0,0,1,0,0,0,427.1273
Male,Grade 9,1,1,1,0,1,1,1,0,349.343
Male,Grade 9,1,1,1,1,1,1,1,0,441.603
Male,Grade 9,0,1,0,0,1,0,0,0,406.9053
Male,Grade 9,1,1,1,1,1,1,1,1,350.6222
Male,Grade 9,1,1,1,1,1,0,0,0,473.9781
Male,Grade 9,0,0,1,0,1,0,1,1,398.5593
Male,Grade 9,1,1,1,1,1,1,1,1,398.7789
Male,Grade 9,1,1,1,1,1,1,0,0,377.4409
Female,Grade 10,1,0,1,1,1,1,0,0,471.3013
Female,Grade 10,1,1,1,1,1,0,0,1,432.4834
Female,Grade 10,1,1,1,1,1,1,1,1,359.9176
Female,Grade 10,0,1,1,0,1,1,1,0,377.5586
Male,Grade 10,1,1,1,1,1,0,0,0,435.6092
Male,Grade 10,1,1,1,1,1,1,1,1,406.1563
Male,Grade 10,1,1,1,1,1,1,0,1,446.7488
Male,Grade 10,1,1,1,1,1,0,0,0,427.781
Male,Grade 10,1,1,1,1,1,1,0,1,435.942
Male,Grade 10,1,1,1,1,1,1,0,0,420.0958
Male,Grade 10,1,1,1,1,1,1,1,0,433.1671
Male,Grade 10,1,1,1,1,1,1,0,0,430.4771
Male,Grade 10,1,1,1,1,1,1,0,0,423.3958
Male,Grade 10,0,0,0,0,0,0,1,1,336.5504
Male,Grade 10,1,1,1,1,1,1,1,0,447.4459
Male,Grade 10,0,1,1,0,1,1,0,0,262.3245
Male,Grade 10,0,1,1,1,1,1,1,1,361.7772
Male,Grade 10,1,1,1,1,1,0,1,0,396.6899
Male,Grade 10,1,0,1,0,1,0,1,0,379.9356
Male,Grade 10,NA,NA,NA,NA,NA,1,NA,NA,347.2793
Male,Grade 10,1,0,0,0,0,0,1,0,469.86
Male,Grade 10,0,0,1,1,1,1,1,0,427.2765
Male,Grade 10,1,1,1,1,1,1,1,0,411.182
Male,Grade 10,1,1,1,1,1,1,1,0,436.7182
Male,Grade 10,1,1,1,1,1,1,1,1,428.2802
Female,Grade 9,1,0,1,0,1,1,1,1,429.4525
Female,Grade 9,0,0,1,0,0,1,0,0,393.6673
Female,Grade 9,1,1,1,0,1,1,0,1,453.512
Female,Grade 9,1,0,0,0,1,1,0,0,407.2866
Female,Grade 9,1,0,1,0,1,0,0,0,433.6074
Female,Grade 9,1,1,1,1,1,0,0,1,427.5403
Female,Grade 9,1,0,1,1,1,1,0,0,361.5931
Female,Grade 9,1,1,1,1,1,1,1,1,457.0092
Female,Grade 9,1,1,1,1,1,1,1,1,355.2566
Female,Grade 10,1,1,1,1,1,1,1,1,468.9932
Female,Grade 10,0,0,1,1,NA,1,1,1,421.829
Female,Grade 10,1,1,1,1,1,1,1,1,507.3487
Female,Grade 10,0,0,1,1,0,1,0,1,435.2716
Female,Grade 10,0,0,1,1,NA,1,0,0,482.7657
Female,Grade 10,1,1,1,1,1,1,1,1,454.0666
Female,Grade 10,1,1,1,1,1,1,1,1,465.5542
Female,Grade 10,0,0,1,1,0,0,0,0,452.1809
Female,Grade 10,1,1,1,1,1,1,1,1,415.3142
Female,Grade 10,1,1,1,1,1,1,1,0,443.0081
Female,Grade 10,1,1,0,0,0,1,0,0,480.6805
Female,Grade 10,0,0,1,1,1,1,0,1,425.1999
Female,Grade 10,NA,NA,NA,NA,NA,NA,NA,NA,383.5958
Female,Grade 10,1,1,1,0,1,1,NA,NA,418.7253
Female,Grade 10,1,1,1,1,1,1,0,1,440.2077
Female,Grade 10,0,0,1,1,1,0,1,0,483.5106
Female,Grade 10,0,0,1,1,1,1,0,1,491.9244
Female,Grade 10,0,0,1,1,1,1,0,1,461.0344
Female,Grade 10,0,1,1,1,1,1,0,0,395.8129
Female,Grade 10,1,1,1,1,1,1,1,1,473.9241
Female,Grade 10,1,1,1,1,1,1,0,0,407.3584
Female,Grade 10,0,0,1,1,1,1,1,0,421.8165
Female,Grade 10,0,1,0,0,0,1,1,1,473.5062
Female,Grade 10,0,1,1,1,0,1,0,0,429.3907
Female,Grade 10,0,0,1,1,1,1,0,0,469.0778
Female,Grade 10,1,1,1,1,1,1,0,1,473.7442
Female,Grade 10,0,1,1,1,1,1,1,1,343.3717
Female,Grade 10,1,1,1,1,1,0,1,0,448.5866
Female,Grade 10,1,1,1,1,1,1,0,1,498.7418
Female,Grade 11,0,0,1,1,1,0,0,0,479.2886
Female,Grade 11,1,0,1,1,1,1,1,1,452.7918
Female,Grade 11,0,0,1,1,1,1,0,0,448.0458
Female,Grade 9,1,1,1,1,1,1,1,1,500.011
Female,Grade 9,1,NA,1,1,1,1,NA,NA,314.8852
Female,Grade 9,1,1,1,0,1,1,0,0,404.1169
Female,Grade 9,1,1,1,1,1,1,1,1,338.8685
Female,Grade 9,NA,NA,NA,NA,NA,NA,NA,NA,366.7648
Female,Grade 9,1,1,1,1,1,1,0,1,434.1886
Male,Grade 9,1,1,1,0,1,1,0,0,403.4079
Male,Grade 9,1,1,0,1,0,1,0,0,447.6353
Male,Grade 9,1,1,1,1,1,1,1,0,393.6657
Female,Grade 10,1,1,1,1,1,1,0,0,428.5713
Female,Grade 10,0,1,1,1,1,0,0,0,379.2718
Female,Grade 10,1,1,1,1,1,1,0,0,424.277
Female,Grade 10,0,0,1,1,1,1,0,0,464.5271
Female,Grade 10,1,1,1,1,1,1,1,0,467.7563
Female,Grade 10,1,1,1,1,1,1,0,1,418.4623
Female,Grade 10,1,1,1,1,1,1,0,0,425.1071
Female,Grade 10,0,1,1,1,1,0,0,0,445.9143
Female,Grade 10,1,1,1,1,1,1,1,1,379.0302
Female,Grade 10,1,1,1,1,1,1,1,0,349.1453
Female,Grade 10,1,1,1,0,1,0,0,0,439.6529
Female,Grade 10,1,0,0,1,1,1,0,0,433.9076
Female,Grade 10,1,1,1,1,1,1,0,1,413.4272
Female,Grade 10,1,0,1,1,1,1,1,0,422.1893
Female,Grade 10,0,0,0,1,1,1,0,0,442.6769
Female,Grade 10,1,1,1,1,1,1,0,1,393.2757
Male,Grade 10,1,1,1,1,1,1,1,1,400.0965
Male,Grade 10,NA,NA,NA,NA,NA,NA,NA,NA,365.0641
Male,Grade 10,1,1,1,1,1,1,1,1,396.0587
Male,Grade 10,0,0,1,0,1,1,0,0,425.113
Male,Grade 10,1,1,1,1,1,1,0,1,452.2874
Male,Grade 10,1,1,1,1,1,1,1,1,339.1859
Male,Grade 10,1,1,1,1,1,1,0,1,359.0109
Male,Grade 10,1,1,1,1,1,1,0,0,409.2703
Male,Grade 10,1,1,1,1,1,1,0,0,443.8211
Male,Grade 10,1,1,1,1,1,1,1,1,429.0124
Male,Grade 10,0,0,1,1,1,0,0,0,339.111
Male,Grade 10,0,0,0,0,1,1,0,0,496.8343
Male,Grade 10,0,1,1,0,1,1,0,0,346.542
Male,Grade 10,1,1,1,1,1,1,1,1,351.9003
Female,Grade 9,1,1,1,1,1,1,1,1,299.9881
Male,Grade 9,1,1,1,1,1,0,0,0,307.9891
Male,Grade 9,NA,NA,NA,1,NA,NA,NA,1,329.2025
Male,Grade 10,1,1,1,1,1,1,1,1,439.9599
Male,Grade 9,1,1,1,1,1,1,1,1,414.3344
Male,Grade 9,0,0,0,1,1,0,0,0,284.1626
Male,Grade 9,1,1,1,1,1,1,NA,NA,367.0904
Male,Grade 9,1,1,1,1,1,1,1,1,284.4585
Male,Grade 9,1,1,1,1,1,1,1,0,138.9482
Male,Grade 9,0,0,1,1,1,1,0,0,273.2101
Female,Grade 10,1,1,1,1,1,1,0,0,443.8659
Male,Grade 10,1,0,1,1,1,1,1,0,364.3689
Male,Grade 10,1,1,1,1,1,0,1,0,387.8632
Male,Grade 10,0,0,0,1,0,0,NA,0,322.8378
Male,Grade 10,1,1,1,1,1,0,0,0,350.0473
Male,Grade 10,0,1,0,0,0,0,0,0,378.8661
Male,Grade 10,1,1,1,1,1,NA,NA,NA,343.5066
Male,Grade 10,1,1,1,1,1,1,0,0,375.1905
Male,Grade 10,0,0,1,0,1,1,0,0,405.7337
Male,Grade 10,1,1,1,0,0,1,0,0,419.1709
Male,Grade 10,NA,1,NA,1,NA,NA,NA,NA,295.7034
Male,Grade 10,1,1,1,1,1,1,0,0,469.2485
Male,Grade 10,0,0,0,0,0,0,0,0,403.27
Male,Grade 10,1,1,1,1,1,1,1,1,387.6239
Male,Grade 10,1,1,1,1,1,1,1,1,436.2931
Male,Grade 10,1,1,1,0,1,1,0,1,442.0269
Male,Grade 10,0,1,0,1,0,1,0,1,334.521
Male,Grade 10,1,1,1,1,1,1,1,1,340.1425
Male,Grade 10,1,1,1,1,1,0,0,1,404.8827
Male,Grade 10,1,1,1,1,1,1,0,1,392.7918
Male,Grade 10,1,0,1,1,1,0,0,0,355.6961
Male,Grade 10,1,1,1,1,1,1,1,1,475.018
Male,Grade 10,1,0,0,0,0,0,0,0,483.7703
Male,Grade 10,NA,NA,1,1,1,1,NA,NA,407.1055
Male,Grade 10,0,1,1,1,0,0,0,1,420.5582
Female,Grade 9,0,0,1,1,1,1,0,0,466.4688
Male,Grade 9,1,1,1,0,1,1,1,0,492.9199
Male,Grade 9,1,1,1,1,1,1,0,0,498.6375
Male,Grade 9,1,1,1,1,1,1,0,0,484.6728
Female,Grade 10,1,1,1,1,1,1,0,1,482.1683
Female,Grade 10,1,1,1,1,1,1,1,0,554.2645
Female,Grade 10,1,1,1,1,1,1,1,1,495.9634
Female,Grade 10,1,1,1,1,1,1,0,0,486.0584
Female,Grade 10,1,1,1,0,0,1,0,0,470.0927
Female,Grade 10,1,0,1,1,1,0,0,0,460.4395
Female,Grade 10,1,1,1,1,1,1,0,0,408.4201
Female,Grade 10,1,1,1,1,1,1,0,1,465.854
Female,Grade 10,1,1,1,1,1,1,0,1,501.3133
Female,Grade 10,1,1,1,1,1,1,0,0,530.123
Female,Grade 10,1,1,1,1,1,1,0,0,436.14
Female,Grade 10,1,1,1,0,1,1,0,1,492.6909
Female,Grade 10,1,1,1,0,1,1,0,1,476.703
Female,Grade 10,1,1,1,1,1,1,0,0,521.5828
Female,Grade 10,1,1,1,1,1,1,0,0,488.1951
Female,Grade 10,1,1,1,0,0,1,1,1,494.1667
Female,Grade 10,1,1,1,1,1,1,0,0,479.7007
Female,Grade 10,1,1,1,1,1,1,0,0,554.9963
Female,Grade 10,1,1,1,1,1,1,0,0,477.1244
Female,Grade 10,1,0,1,1,1,1,1,1,454.0182
Male,Grade 10,1,1,1,1,1,1,1,1,450.5037
Male,Grade 10,1,1,1,1,1,1,0,0,475.4659
Male,Grade 10,1,1,1,1,1,1,1,0,478.5825
Male,Grade 10,1,1,1,1,1,1,1,1,434.3946
Male,Grade 10,1,1,1,1,0,1,0,0,484.0941
Male,Grade 10,1,0,1,0,1,1,0,0,470.0937
Male,Grade 10,1,1,1,1,1,1,1,1,375.3216
Male,Grade 10,1,1,1,0,1,1,1,0,538.5495
Male,Grade 10,1,1,1,1,1,1,1,1,489.0709
Male,Grade 10,1,1,1,1,1,1,1,1,525.3289
Male,Grade 10,1,1,1,1,1,1,1,0,455.316
Male,Grade 10,1,1,1,1,1,1,0,0,444.8273
Male,Grade 10,NA,NA,NA,NA,NA,NA,NA,NA,394.4173
Male,Grade 10,1,1,1,1,1,1,1,0,492.5139
Male,Grade 10,1,1,1,1,1,0,1,1,525.7538
Male,Grade 10,0,1,1,0,1,1,0,0,528.551
Male,Grade 10,1,1,1,1,1,1,1,1,531.5991
Male,Grade 10,1,1,1,0,1,1,0,0,471.0496
Female,Grade 9,1,1,1,0,1,1,0,0,418.694
Female,Grade 9,1,1,1,1,1,1,1,1,370.8105
Female,Grade 9,1,1,1,1,1,1,1,1,403.9558
Female,Grade 9,1,1,1,1,1,1,1,1,458.8895
Female,Grade 9,1,1,1,1,1,1,0,1,348.0651
Female,Grade 9,0,0,0,1,1,1,1,1,301.7835
